y,age,educ,female,exp,yl1,yl2,yl3,yp1,yp2,owage2,owage1
0.9938016,38,6,1,26,1.117936,1.111646,1.057228,1.696651,1.232299,1.27606189,1.207620403
1.510758,40,9,1,25,1.552447,1.565886,1.583766,1.480077,1.491799,1.247079045,1.319524141
2.011974,39,9,0,24,1.901469,1.712362,1.744862,1.980751,1.981514,1.453643745,1.465674395
1.559829,41,6,0,29,1.621747,1.806597,1.675808,1.605973,1.690579,1.547707417,1.556409461
1.30572,43,9,1,28,1.380764,1.363605,1.363654,1.300268,1.232152,1.365669153,1.38809319
1.476479,41,9,0,26,1.376104,1.427402,1.403749,1.477385,1.457557,1.547713758,1.556587799
1.377978,40,12,1,22,1.4746,1.516365,1.543891,1.347347,1.316883,1.180914223,1.399960308
1.870165,41,6,0,29,1.222704,1.294427,1.326927,1.035131,1.256664,1.416582323,1.986479392
2.101367,43,12,0,25,2.314853,2.379049,2.302278,2.075768,2.066575,1.608233777,2.27076175
1.141912,38,6,0,26,0.9274038,1.524185,1.324129,1.080406,1.3529,1.714074136,1.177932052
1.349433,37,6,0,25,0.9461954,0.9321551,0.8540387,1.317897,1.252136,0.888485898,1.103949411
1.686042,39,12,1,21,1.783176,1.787116,1.819616,2.042842,2.215466,2.105925521,1.789908463
1.543524,39,6,0,27,1.665315,1.550444,1.614578,1.456576,1.39107,1.555535829,1.476694685
1.443748,37,6,0,25,1.322939,1.572591,1.560599,1.600445,1.493507,1.555556902,1.554488598
1.173494,36,6,0,24,1.143023,1.137396,1.169896,1.142894,1.444262,1.338137859,1.302659155
1.918981,42,6,1,30,1.905102,1.721157,1.7322,1.907468,1.903467,1.494916851,1.5477763
1.432273,37,6,0,25,1.40487,1.422762,1.367587,1.433271,1.5552,1.752179148,1.822537708
3.101474,43,16,1,21,3.23893,3.051987,2.928581,3.125318,3.133629,2.944274145,2.869536831
1.148908,37,6,0,25,0.9141777,0.9378777,0.9703777,1.169404,1.246124,1.321751,1.046122619
3.596116,37,16,0,15,3.378162,3.414321,3.375171,3.573759,3.62913,1.580594893,1.54756908
1.940643,39,9,1,24,1.712197,1.704785,1.707762,1.958178,1.96351,1.906014162,1.72615862
3.459619,41,9,0,26,3.106868,2.986538,2.155753,3.473685,2.896351,1.738939999,1.601886319
3.124634,41,12,1,23,2.693417,2.692243,2.693975,3.158358,3.15207,1.492292761,1.773263804
1.947583,41,9,0,26,1.855611,1.786571,1.735404,2.017538,2.014154,2.013759504,1.873693237
1.551939,44,9,0,29,1.471727,1.491487,1.52975,1.908305,1.896933,1.529003003,1.397791933
2.49299,38,16,1,16,2.48263,2.208076,1.896294,2.489526,2.522105,2.71477185,1.630641019
1.430802,39,12,1,21,1.75029,1.710561,1.710127,1.458337,1.466337,1.672461609,1.562669823
3.084403,40,16,0,18,3.103469,3.127169,3.245967,3.055225,3.231376,2.350164828,2.550766931
1.186874,37,6,0,25,1.711206,1.701233,1.706193,1.882741,1.786931,2.088843565,1.951644778
0.979283,41,6,1,29,1.145127,1.04841,1.11641,0.9735078,1.004193,1.21275151,1.317917512
1.232137,41,6,0,29,1.287627,1.17701,1.213656,1.265407,1.270363,1.20423933,1.193524333
1.266122,45,9,1,30,1.244323,1.268023,1.300523,1.253759,1.244431,1.512829914,1.500962834
1.292836,40,9,0,25,1.543596,1.528604,1.524557,1.482091,1.595592,1.451713016,1.408224128
1.242934,41,9,0,26,1.98246,1.864726,2.281074,1.618912,1.201736,1.286997806,1.801511885
1.450194,36,9,0,21,1.347702,1.347824,1.444625,1.438659,1.436591,1.746137225,1.335640748
1.538409,41,6,0,29,1.234966,1.244561,1.260068,1.5128,1.558928,1.28225866,1.206619228
1.075061,39,6,1,27,1.225341,1.250213,1.124351,1.062794,1.090845,1.212089831,1.317728995
1.435794,37,6,1,25,1.294771,1.264425,1.284526,1.413959,1.427635,1.451821667,1.120444367
2.247015,38,9,0,23,1.514108,1.473286,1.480085,2.258609,2.346427,2.303268864,1.403194932
1.748928,35,6,0,23,1.366063,1.262853,1.340919,1.76395,1.646172,1.734943185,1.525192216
